ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err,state
EQNR,4035,Energy,21412,"Equinor ASA, an energy company, explores for, produces, transports, refines, and markets petroleum and petroleum-derived products, and other forms of energy in Norway and internationally. The company operates through Development & Production Norway; Development & Production Brazil; Development & Production International; Marketing, Midstream & Processing; New Energy Solutions; Technology, Projects & Drilling; Exploration; and Global Strategy & Business Development segments. It also transports, processes, manufactures, markets, and trades in oil and gas commodities, such as crude and condensate products, gas liquids, natural gas, and liquefied natural gas; markets and trades in electricity and emission rights; and operates refineries, processing and power plants, and terminals. In addition, the company develops wind, and carbon capture and storage projects, as well as offers other renewable energy and low-carbon energy solutions. As of December 31, 2019, it had proved oil and gas reserves of 6,004 million barrels of oil equivalent. The company was formerly known as Statoil ASA and changed its name to Equinor ASA in May 2018. Equinor ASA was founded in 1972 and is headquartered in Stavanger, Norway.",Stavanger,47 51 99 00 00,Norway,[],http://www.equinor.com,1,Forusbeen 50,Oil & Gas Integrated,,138.65,140,141.95868,0.005120808,,,143.7,,3174579,,138.65,139.6353,0.71,140,,3174579,,,,3.3,1597363200,0.733139,,,139.6,2,NOK,,1765501,,,,466263343104,,,4098229,8.926947,139.6,143.6,,0,1765501,187.2,64.3722,,4.95,95.2,143.55,False,0.024300002,0,143.7,OSL,EQUINOR ASA,Equinor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EQNR.OL,finmb_989228,no_market,,9.043,,-0.04413,32.901,-0.090726495,,2.23,,3248090112,,,10.863,,,,1577750400,0.19812,-2304999936,-0.697,,0.14650929,13.214582,0.67271006,1640908800,1593475200,,,1016182440,472331386880,,1147219200,5:1,,,,,,,,,,,https://logo.clearbit.com/equinor.com,,,,,,,
GJF,0191,Financial Services,3620,"Gjensidige Forsikring ASA operates as a general insurance company in Norway, Denmark, Sweden, Lithuania, Latvia, and Estonia. The company operates through six segments: General Insurance Private, General Insurance Commercial, General Insurance Denmark, General Insurance Sweden, General Insurance Baltics, and Pension. It offers various insurance products, including motor vehicles, property, leisure boats, and accident and health insurance products, as well as insurance products in the areas of liability, commercial, municipality, and agriculture, coastal and marine/transport, and defined contribution scheme; travel; and life and pet insurance products. The company also provides pension and savings products comprising occupational pensions, private pension savings, spouse/cohabitant pension, child's pension, and individual disability pensions. It distributes its products through its distribution network, as well as through agents, partnerships, brokers, telephone, digital solutions, and sales offices to private and commercial customers. The company is headquartered in Oslo, Norway. Gjensidige Forsikring ASA is a subsidiary of Gjensidigestiftelsen.",Oslo,47 91 50 31 00,Norway,[],http://www.gjensidige.no,1,Schweigaardsgate 21,Insurance—Diversified,,188.8,188.9,184.97627,0.03760593,0,,188.9,,290176,,188.8,184.88235,7.1,188.9,,290176,,,,,1585267200,0.426744,,,187.2,2,NOK,23.800457,98618,,,,93750001664,,,526528,3.3990915,187.2,187.6,,118100,98618,208.8,19.695377,,,145.25,187.5,False,,96300,188.9,OSL,GJENSIDIGE FORSIKR,Gjensidige Forsikring ASA,Europe/Oslo,CEST,False,7200000,EQUITY,GJF.OL,finmb_4497069,no_market,,1.907,,0.14283,10.004,0.12686121,,9.52,,500000000,,,56.1,,,,1577750400,0.30024,3939399936,7.878,,0.14650929,3.342246,0.6395,1640908800,1593475200,,,497370053,52599861248,,,,,,0.455,,,,,,,,https://logo.clearbit.com/gjensidige.no,,,,,,,
GOGL,HM 08,Industrials,37,"Golden Ocean Group Limited, a shipping company, owns and operates a fleet of dry bulk vessels comprising of Newcastlemax, Capesize, Panamax, and Ultramax vessels worldwide. It owns and operates dry bulk vessels in the spot and time charter markets. The company transports bulk commodities, such as ores, coal, grains, and fertilizers. As of March 12, 2020, it owned a fleet of 67 vessels. Golden Ocean Group Limited is based in Hamilton, Bermuda.",Hamilton,441 295 6935,Bermuda,[],http://www.goldenocean.bm,1,Par-la-Ville Place,Marine Shipping,14 Par-la-Ville Road PO Box HM 1593,36.5,36.5,36.26336,0.008219179,,,36.54,,827214,,36.5,36.718235,0.3,36.5,,827214,,,,2.24,1583366400,1.754061,,,35.54,2,NOK,,623820,,,,5212453888,,,1097818,7.248913,35.54,36.38,,470900,623820,59.6,,,,26.5,36.3,False,0.0626,400000,36.54,OSL,GOLDEN OCEAN GROUP,Golden Ocean Group Limited,Europe/Oslo,CEST,False,7200000,EQUITY,GOGL.OL,finmb_262789605,no_market,,9.081,,-0.16155,34.974,-0.23717946,,,,143278000,,,9.389,,,,1577750400,0.2715,-116166000,-0.818,,0.14650929,3.8683565,0.36176997,1640908800,1585612800,,,91444125,6530103808,,1470009600,1:5,,,,,,,,,,,https://logo.clearbit.com/goldenocean.bm,441 295 3494,,,,,,
FRO,HM 08,Energy,157,"Frontline Ltd., a shipping company, engages in the seaborne transportation of crude oil and oil products worldwide. It owns and operates oil and product tankers. As of December 31, 2019, the company operated a fleet of 71 vessels. It is also involved in the charter, purchase, and sale of vessels. Frontline Ltd. is based in Hamilton, Bermuda.",Hamilton,441 295 6935,Bermuda,[],http://www.frontline.bm,1,Par-la-Ville Place,Oil & Gas Midstream,14 Par-la-Ville Road PO Box HM 1593,73,74,81.190216,0.016438358,0.3623,,75.45,,382422,,73,70.74559,1.2,74,,382422,,,,27.07,1591142400,0.257861,,,73.95,2,NOK,52.387638,269791,,,,15008997376,,,1091141,13.2802305,73.95,74.6,,173100,269791,123,173.48837,,,55,74.6,False,0.37080002,75700,75.45,OSL,FRONTLINE LTD,Frontline Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,FRO.OL,finmb_144797851,no_market,,14.563,,0.23472,33.105,0.17269075,,0.43,,197692000,,,8.114,,,,1577750400,0.29650998,265272000,1.424,,0.14650929,9.193985,0.50473,1640908800,1585612800,,,98284714,16458514432,,1454544000,1:5,,,3.13,,,,,,,,https://logo.clearbit.com/frontline.bm,441 295 3494,,,,,,
RISH,5058,Industrials,32,"GC Rieber Shipping ASA engages in the design, development, construction, and maritime operation of specialized vessels within the offshore/shipping business in Norway, Great Britain, Africa, and the Netherlands. It operates through Subsea and Ice/Support segments. The Subsea segment owns and operates subsea vessels that are primarily used for construction, inspection, maintenance, and repair of subsea installations. The Ice/Support segment owns and operates a vessel within ice/support that provides services for scientific expeditions and logistics operations, as well as for the oil and gas sector. The company operates 11 vessels and has direct and indirect ownership of 23 advanced special purpose vessels. It also provides marine ship management and project development services. The company was founded in 1879 and is headquartered in Bergen, Norway. GC Rieber Shipping ASA is a subsidiary of GC Rieber AS.",Bergen,47 55 60 68 00,Norway,[],http://www.gcrieber-shipping.com,1,Solheimsgaten 15,Marine Shipping,,5.65,5.8,6.6352553,0.088495575,0,,5.8,,776,,5.65,6.1102943,0.5,5.8,,776,,,,,1428624000,0.946511,,,5.8,2,NOK,,310,,,,498990272,,,6370,2.472881,5.8,6.15,,110000,310,11.5,,,,4.5,5.65,False,,100000,5.8,OSL,GC RIEBER SHIPPING,GC Rieber Shipping ASA,Europe/Oslo,CEST,False,7200000,EQUITY,RISH.OL,finmb_884214,no_market,,7.892,,-0.90569,19.633,-0.27058828,,,,86032800,,,20.62,,,,1577750400,0.01897,-182755008,-2.124,,0.14650929,0.2812803,0.92489,1640908800,1585612800,,,8121469,1592518656,,1176422400,10:1,,,,,,,,,,,https://logo.clearbit.com/gcrieber-shipping.com,,,,,,,
GEOS-ME,6002,Industrials,,"Golden Energy Offshore Services AS engages in the shipping business in Europe and Africa. The company owns 4 offshore service vessels. Golden Energy Offshore Services AS was incorporated in 2013 and is headquartered in Aalesund, Norway.",Alesund,47 70 10 26 60,Norway,[],http://www.geoff.no,1,St Olavs Plass 1,Marine Shipping,,1.03,1.03,1.8048905,,0,,1.03,,0,,1.03,1.2035294,,1.03,,0,,,,,,0.409149,,,1.03,4,NOK,,0,,,,47044012,,,1003,0.42625448,1.03,0,,,0,5.9,,,,1,1.03,False,,,1.03,OSL,GOLDEN ENGY OFFSHO,Golden Energy Offshore Services AS,Europe/Oslo,CEST,False,7200000,EQUITY,GEOS-ME.OL,finmb_382050544,no_market,,2.633,,-0.15581,17.076,-0.81929827,,,,45673800,,,8.079,,,,1577750400,0.4456,-17196492,-0.541,,0.14650929,0.12749101,0,1640908800,1577750400,,,19335649,290545120,,,,,,,,,,,,,,https://logo.clearbit.com/geoff.no,47 70 10 26 61,,,,,,
GIG,STJ 3148,Consumer Cyclical,594,"Gaming Innovation Group Inc., through its subsidiaries, provides and facilitates a platform for Internet gambling, gaming, and betting in Nordic countries, other European countries, and internationally. It operates in two segments, Business-to-Business (B2B) and Business-to-Consumer (B2C). The company offers profile management system with integrated KYC tools to verify end users, which comprises of payment gateway, gaming tools, and regulatory adaption engine, as well as bonus, affiliate, and content management systems. It also designs, hosts, and distributes in-house-developed and third-party games, such as casino; and offers sportsbook solutions that helps the customers to offer betting experience to their end users. In addition, it provides iGaming end user leads for casino and sportsbook customers using the techniques and technology in social media, adwords, permission marketing, and display advertising; and digital agency, which comprises of ad-tech, publishing, and paid media channels. Additionally, it offers front end development, compliance standards, payments, and product management services. Further, the company offers B2C casino, sports betting, and poker services through its own brands, such as Guts.com, Betspin.com, Rizk.com, SuperLenny.com, Kaboo.com, Thrills.com, and Highroller.com. The company was founded in 2012 and is headquartered in St Julians, Malta.",St Julians,356 2711 0277,Malta,[],http://www.gig.com,1,@GiG Beach,Gambling,Golden Mile Business Centre Triq Id-Dragunara,8,7.95,5.278029,,0,,7.98,,315530,,8,6.1414704,,7.95,,315530,,,,,,0.886046,,,7.74,2,NOK,,120629,,,,702943744,,,257997,,7.74,7.81,,86600,120629,12.2,78.1,,,2.05,7.8,False,,1568100,7.98,OSL,GAMING INNOVATION,Gaming Innovation Group Inc.,Europe/Oslo,CEST,False,7200000,EQUITY,GIG.OL,finmb_285246636,no_market,,,,-1.50549,,-0.3241071,,0.1,,90005600,,,1.355,,,,1577750400,0.13146,,-0.08,,0.14650929,5.7638373,0.53973,1640908800,1585612800,,,37909470,720044992,,1545177600,1:10,,,,,,,,,,,https://logo.clearbit.com/gig.com,,,,,,,
FJORD,6900,Industrials,1056,"Fjord1 ASA, together with its subsidiaries, operates passenger ferries and other passenger boats in Norway. The company operates in four segments: Ferry, Passenger Boat, Catering, and Tourism. The company's ferries and passenger boats transport vehicles and passengers. It also offers catering and tourism, shipyard, and travel agency services; and manages properties. The company was founded in 2001 and is headquartered in FlorÃ¸, Norway. Fjord1 ASA is a subsidiary of Havilafjord AS.",Floro,47 57 75 70 00,Norway,[],http://www.fjord1.no,1,Strandavegen 15,Marine Shipping,,44.5,44.1,41.644524,0.060674157,1.6071,,44.5,,12396,,44.5,44.985294,2.7,44.1,,12396,,,,,1557878400,0.860991,,,44,2,NOK,26.388062,7219,,,,4416004608,,,29423,1.5780749,44,44.4,,0,7219,46.9,12.592593,,,31,44.2,False,,0,44.5,OSL,FJORD1 ASA,Fjord1 ASA,Europe/Oslo,CEST,False,7200000,EQUITY,FJORD.OL,finmb_22655336,no_market,,3.694,,0.05979,13.267,0.19466662,,3.51,,99909600,,,22.394,,,,1577750400,0.11310001,167319008,1.675,,0.14650929,1.9737431,0.85439,1640908800,1585612800,,,14464912,10336378880,,,,,,,,,,,,,,https://logo.clearbit.com/fjord1.no,,,,,,,
GENT-ME,1596,Healthcare,46,"Gentian Diagnostics AS researches, develops, and produces biochemical reagents for use in medical diagnostics and research in Europe, Asia, the United States. It offers in-vitro diagnostic (IVD) and molecular diagnostic tests for medical laboratories and universities. The company's products include Plasma Calprotectin, a particle enhanced turbidimetric immunoassay (PETIA) for quantitative analysis of total calprotectin in plasma; and Cystatin C, a PETIA for use on a range of clinical chemistry analyzers. . It also offers Canine CRP, an IVD test for the quantitative determination of Canine CRP in dog serum plasma; PreTect HPV-Proofer, an assay for the qualitative detection of the presence of human papillomavirus; and PreTect SEE, a control test for NILM cytology. The company was founded in 2001 and is headquartered in Moss, Norway.",Moss,47 99 33 99 05,Norway,[],http://www.gentian.com,1,Bjornasveien 5,Diagnostics & Research,,63,63,52.043797,,0,,63,,2218,,63,56.85294,,63,,2218,,,,,,0.682941,,,61.5,2,NOK,,1255,,,,954967424,,,7617,15.291223,61.5,62.5,,,1255,66.8,,,,38,62,False,,,63,OSL,GENTIAN DIAGNOSTIC,Gentian Diagnostics AS,Europe/Oslo,CEST,False,7200000,EQUITY,GENT-ME.OL,finmb_413765020,no_market,,13.018,,-0.61030996,-32.472,0.2576686,,,,15402700,,,13.222,,,,1577750400,0.26522,-38115000,-2.477,,0.14650929,4.6891546,0.48766997,1640908800,1585612800,,,6773345,813007232,,,,,,,,,,,,,,https://logo.clearbit.com/gentian.com,,,,,,,
ENTRA,0185,Real Estate,181,"Entra ASA owns, develops, leases, and manages office properties in Norway. As of December 31, 2019, it had a property portfolio of 89 properties totalling approximately 1.3 million square meters. The company was founded in 2000 and is headquartered in Oslo, Norway.",Oslo,47 21 60 51 00,Norway,[],http://www.entra.no,1,Biskop Gunnerus gate 14 A,Real Estate—Diversified,,128.2,128.3,133.4365,0.0374415,0.3717,,129.5,,284269,,128.2,127.40882,4.8,128.3,,284269,,,,4.8,1601596800,0.514534,,,128,2,NOK,10.0078125,226161,,,,23331110912,,,425074,9.174641,128,128.2,,168600,226161,168.6,17.69337,,3.68,96.2,127.9,False,0.0374,193700,129.5,OSL,ENTRA ASA,Entra ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ENTRA.OL,finmb_254167079,no_market,,17.991,,0.91663,20.618,-0.009287894,,7.24,,182132000,,,125.59,,,,1577750400,0.5023,2331000064,12.8,,0.14650929,1.0199858,0.22298999,1640908800,1593475200,,,150093205,45752328192,,,,,,0.004,,,,,,,,https://logo.clearbit.com/entra.no,,,,,,,
GRONG-ME,7870,Financial Services,,"Grong Sparebank, an independent savings bank, provides a range of banking products and services in Norway. It offers bank savings accounts; fund savings; retirement savings; and car loans, mortgage loans, loans to other vehicles, and other loans and refinancing services. The company also provides various type of insurance, such as home and leisure, car and other vehicle, animal, building, mortgage, employee, and business insurance; bank guarantees, construction loans, overdrafts, leasing facilities, and corporate loans; credit facilities; payment and bank cards, and Internet and mobile banking services; and real estate agency services. It has branches in SnÃ¥sa, Lierne, MosjÃ¸en, Namsos, Steinkjer, and RÃ¸rvik. Grong Sparebank was founded in 1862 and is based in Grong, Norway.",Grong,47 74 31 28 60,Norway,[],http://www.grong-sparebank.no,1,Sundspetvegen 2,Banks—Regional,,113,112,107.948906,0.061946902,0.9235,,112,,352,,113,111.67647,7,112,,352,,,,7,1584057600,0.064499,,,112,2,NOK,14.692378,50,,,,332917760,,,924,1.9023871,112,112,,,50,118,,,,96,110,False,0.0636,,112,OSL,GRONG SPAREBANK,Grong Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,GRONG-ME.OL,finmb_42115965,no_market,,8.921,,0.28221,,0.07619047,,,,2972480,,,256.785,,,,1577750400,0.03611,24044000,7.623,,,0.43616253,0,1640908800,1585612800,,,1992599,1561103616,,,,,,-0.37,,,,,,,,https://logo.clearbit.com/grong-sparebank.no,47 74 31 28 61,,,,e1a9280d-7287-3862-aa78-b95ec7bce240,,
HAFNIA,HM 1189,Industrials,,"Hafnia Limited, owns and operates oil product tankers. The company operates in four segments: Long Range II (LR2), Long Range I (LR1), Medium Range (MR), and Handy size (Handy). It transports oil and oil products to national and international oil companies, and chemical companies, as well as trading and utility companies. The company provides ship owning, ship-management, chartering, investment, and agency office services. As of April 29, 2020, the company operated a fleet of 174 vessels in pools, including newbuilds, of which 102 are owned or chartered-in including six owned LR2s, 27 owned and nine chartered-in LR1s, 41 owned and six chartered-in MRs, and 13 owned Handy vessels. The company is based in Hamilton, Bermuda. Hafnia Limited is a subsidiary of BW Group Limited.",Hamilton,,Bermuda,[],http://www.hafniabw.com,1,Washington Mall Phase 2,Marine Shipping,4th Floor Suite 400 22 Church Street,16,16,18.540855,0.0035625,0.1685,,16.46,,76625,,16,15.725294,0.057,16,,76625,,,,1.6,1590624000,,,,16,2,NOK,48.011696,149201,,,,5960377856,,,350561,6.7562966,16,16.42,,,149201,29.23,,,,14.6,16.34,False,0.1,,16.46,OSL,HAFNIA LIMITED,Hafnia Limited,Europe/Oslo,CEST,False,7200000,EQUITY,HAFNIA.OL,finmb_589287859,no_market,,8.101,,0.13709,25.014,Infinity,,,,362995008,,,3.141,,,,1577750400,0.017380001,120939000,0.342,,,5.2276344,0.66471,1640908800,1585612800,,,114169325,7146320896,,,,,,1.763,,,,,,,,https://logo.clearbit.com/hafniabw.com,,,,,003a7a08-8701-3187-95d4-d196d2081dad,,
GOD,0663,Industrials,,"Goodtech ASA operates as an automation, power, and industrial engineering company in Norway, Sweden, Finland, Europe, and internationally. It designs and supplies turnkey systems to convert and modernize existing systems, such as operator, process safety, industrial IT, and control systems; and provides service and support in electrical, mechanical, automation, and industrial IT sectors. The company also delivers proprietary technologies and customized solutions, including packaging machines, bulk handling systems, and logistic and machining solutions, as well as provides engineering and aftermarket services. In addition, it supplies power systems for power, oil and gas, and renewable energy industries; and constructs and operates electrical systems. Further, the company provides products and solutions, such as water purification, waste water treatment, industrial water, energy recovery technology, and biogas systems. It serves a range of customers within process and manufacturing, aquaculture, oil and gas, power, and water treatment industries. Goodtech ASA was founded in 1913 and is headquartered in Oslo, Norway.",Oslo,47 81 56 86 00,Norway,[],http://www.goodtech.no,1,Innspurten 15,Engineering & Construction,Etterstad PO Box 6578,6.8,6.9,6.521679,0.22058822,0,,6.9,,1354,,6.8,6.775,1.5,6.9,,1354,,,,,1398643200,1.169186,,,6.75,2,NOK,755.5556,21539,,,,153779280,,,19895,0.34116086,6.75,6.9,,27800,21539,9,,,,4.72,6.8,False,,66200,6.9,OSL,GOODTECH ASA,Goodtech ASA,Europe/Oslo,CEST,False,7200000,EQUITY,GOD.OL,finmb_7668624,no_market,,0.409,,0.00045000002,-43.407,0.022556424,,,,22614600,,,10.152,,,,1577750400,0.029460002,-8442000,0.009,,,0.66981876,0.59415,1640908800,1585612800,,,12468544,184264080,,1336348800,1:10,,,-0.839,,,,,,,,https://logo.clearbit.com/goodtech.no,,,,,29ef84a6-23af-3318-aff7-9e049cd7307d,,
GYL,0164,Communication Services,,"Gyldendal ASA, through its subsidiaries publishes and sells books in Norway. It also operates 142 bookstores; and ark.no, an online bookstore. In addition, it publishes dictionaries, and encyclopedias and other reference books in book and digital forms. The company was founded in 1925 and is based in Oslo, Norway.",Oslo,47 22 03 41 00,Norway,[],http://www.gyldendalasa.no,1,Sehestedsgate 4,Publishing,,525,492,492.20438,0.01904762,0.4337,,520,,50,,525,495.17648,10,492,,50,,,,7,1593129600,0.164534,,,492,2,NOK,32.222084,67,,,,1199707648,,,40,0.5924778,492,498,,7100,67,600,,,2.01,326,472,False,0.013300001,1300,520,OSL,GYLDENDAL ASA,Gyldendal ASA,Europe/Oslo,CEST,False,7200000,EQUITY,GYL.OL,finmb_9237616,no_market,,0.627,,0.01839,11.19,0.3190955,,,,2307130,,,356.812,,,,1577750400,0,37232000,16.138,,,1.45735,0.95658,1640908800,1577750400,,,,1269237760,,,,,,-0.103,,,,,,,,https://logo.clearbit.com/gyldendalasa.no,,,,,416c704a-5f3e-33e9-8594-1e79dea9083e,,
HYARD,6090,Industrials,693,"Havyard Group ASA primarily engages in shipbuilding, engineering, ship design, and ship equipment businesses worldwide. It operates in five segments: Ship Technology, Design & Solutions, Power & Systems, Fish Handling, and Havyard Production. The Ship Technology segment constructs and repairs offshore vessels, windmill service vessels, live-fish carriers, fishing vessels, and other specialty vessels. The Design & Solutions segment develops, sells, and delivers ship design and engineering, and system packages to yards and shipping companies. The Power & Systems segment manufactures and supplies diesel- and hybrid-electric propulsion systems, including boards, electromechanical products, and automation and safety systems; designs, engineers, and installs electrical systems; and develops and delivers control and automation systems for ships. The Fish Handling segment delivers solutions for handling and cooling of seafood onboard fishing vessels and live fish carriers, and in on-shore plants; and produces, rents, and sells waste machines. The Havyard Production segment hires out personnel; and pre-fabricates steel products, including piping, switchboards, and starters. The company was founded in 1999 and is headquartered in FosnavÃ¥g, Norway.",Fosnavag,47 70 08 45 50,Norway,[],http://www.havyard.com,1,Havyard House,Aerospace & Defense,Holmefjordvegen 1,2.05,2.05,2.3085036,0.2195122,0,,2.05,,35750,,2.05,2.1764705,0.45,2.05,,35750,,,,,1425254400,0.411046,,,1.95,4,NOK,,12813,,,,50688300,,,50915,0.017373024,1.95,2,,100000,12813,7.5,,,,1.3,1.995,False,,299000,2.05,OSL,HAVYARD GROUP ASA,Havyard Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,HYARD.OL,finmb_95307648,no_market,,0.306,,-0.07383,-5.288,-0.70714283,,,,24726000,,,6.653,,,,1546214400,0.0793,-215399008,-8.68,,,0.30813166,0.73204005,1609372800,1561852800,,,8748056,891585280,,,,,,,,,,,,,,https://logo.clearbit.com/havyard.com,,,,,39294dbc-e16c-30e4-8e1d-0fdc55fbf2d1,,
HUNT,0287,Energy,3,"Hunter Group ASA, an investment company, focuses primarily on shipping and oil services investments in Norway and internationally. The company develops VLCC construction contracts and options. Its fleet consist of seven identical VLCCs. The company was formerly known as Badger Explorer ASA and changed its name to Hunter Group ASA in May 2017. Hunter Group ASA was founded in 2003 and is headquartered in Oslo, Norway.",Oslo,47 95 77 29 47,Norway,[],http://www.huntergroup.no,1,Dronningen 1,Oil & Gas Equipment & Services,,3.165,3.165,3.7967517,,0,,3.24,,1054323,,3.165,3.2494118,,3.165,,1054323,,,,,,-0.123837,,,3.165,4,NOK,70.32609,377954,,,,1861296000,,,2148118,56.195156,3.165,3.235,,0,377954,6.05,323.5,,,3,3.225,False,,0,3.24,OSL,HUNTER GROUP ASA,Hunter Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,HUNT.OL,finmb_23568458,no_market,,60.956,,0.82691,78.481,-0.0078369975,,0.01,,575361984,,,0.388,,,,1577750400,0.15904,27389000,0.046,,,8.337628,0.45485002,1640908800,1585612800,,,291150439,2018968832,,1512691200,1:10,,,34.55,,,,,,,,https://logo.clearbit.com/huntergroup.no,,,,,170d6877-c6c5-3d97-b22b-94bb52c858e2,,
HBC,6005,Healthcare,51,"Hofseth BioCare ASA, a biotech company, offers value added biomarine ingredients and finished products for the human nutrition, and pet and feed markets in Norway. Its products include OmeGo salmon oil; ProGo, a salmon protein hydrolysate powder used as a fast absorbing protein supplement; and CalGo, a marine calcium powder produced from salmon bones that enhances bone density and bone deposition in older individuals. The company has a research agreement with Stanford University School of Medicine to investigate the gastro-intestinal-protective properties of HBC's salmon protein hydrolysate peptides in children and adults with GI tract disorders. The company was founded in 2000 and is headquartered in Ãlesund, Norway.",Alesund,47 73 10 22 00,Norway,[],http://www.hofsethbiocare.no,1,Havnegata 11,Biotechnology,,8.58,8.38,8.354599,,0,,8.64,,52095,,8.58,9.002941,,8.38,,52095,,,,,,0.784302,,,8.2,2,NOK,,6425,,,,2744435456,,,101714,38.3194,8.2,8.48,,,6425,10.95,,,,3.76,8.34,False,,,8.64,OSL,HOFSETH BIOCARE AS,Hofseth BioCare ASA,Europe/Oslo,CEST,False,7200000,EQUITY,HBC.OL,finmb_138820134,no_market,,40.072,,-1.20715,-47.525,,,,,329068992,,,0.375,,,,1577750400,0.23933001,-86456000,-0.275,,,22.24,0.52830005,1640908800,1585612800,,,140919308,2869926912,,,,,,,,,,,,,,https://logo.clearbit.com/hofsethbiocare.no,,,,,6bd38704-57b8-3fb3-9c4b-d15b5b6fff8e,,
HIDDN,0254,Technology,3,"Hiddn Solutions ASA, through its subsidiary, Finn Clausen Sikkerhetssystemer AS distributes physical filing and storage systems in Norway. It operates in three segments: Security Cabinets, Filing Cabinets, and Other Storage Products. The company sells security and filing cabinets, as well as other storage products, including wardrobe lockers, shelving systems, and safe deposit boxes. It also offers after sales support services for security, archiving, and storage products. Hiddn Solutions ASA was founded in 1998 and is based in Oslo, Norway.",Oslo,47 22 12 00 12,Norway,[],http://www.hiddnsolutions.no,1,Cort Adelers gate 17,Computer Hardware,,1.63,1.59,1.5850365,23.312883,0,,1.6,,128873,,1.63,1.6432353,38,1.59,,128873,,,,,1476748800,1.718823,,,1.56,4,NOK,,75711,,,,143404544,,,229013,16.559416,1.56,1.595,,0,75711,4.33748,,,,0.777755,1.56,False,,0,1.6,OSL,HIDDN SOLUTIONS,Hiddn Solutions ASA,Europe/Oslo,CEST,False,7200000,EQUITY,HIDDN.OL,finmb_7099157,no_market,,2.891,,0,-1.444,-0.31887227,,,,89908800,,,-0.126,,,,1577750400,0,-31440000,-4.175,,,,0.84906995,1640908800,1577750400,,,12460309,25036940,,1568678400,1:20,,,,,,,,,,,https://logo.clearbit.com/hiddnsolutions.no,,,,,3afe3f0c-9fb4-3681-b6a1-4c433760c6ec,,
