ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,state
AKVA,4353,Industrials,1431,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,47 51 77 85 00,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,,Farm & Heavy Construction Machinery,64,64,59.992752,0.015625,15.3846,,64,,3419,,64,63.211765,1,64,3419,,,,2,1582502400,0.655052,,,63.4,2,NOK,515.44714,150,,,,2102115840,,,5181,0.6913288,63.4,63.8,,49600,150,79.4,11.064572,,,41.3,63.2,False,0.0313,34200,64,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,AKVA.OL,,,finmb_162314,26bd6576-1786-3449-87ad-4a86b019bce1,no_market,,1.054,,0.0013400001,28.254,-0.19395465,,5.73,,33156400,,,31.016,,,,1577750400,0.13203,4087000,0.123,,,2.0441062,0.7511,1640908800,1593475200,,,8066625,3205763840,,,,,,-0.095,,,,,,,,https://logo.clearbit.com/akvagroup.com,,
AMSC,1366,Industrials,3,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,,Norway,[],http://www.americanshippingco.com,1,Building B,,Marine Shipping,31.35,30.8,25.671232,0.010845295,2.1353,,30.8,,65949,,31.35,28.204412,0.34,30.8,65949,,,,3.62,1598486400,0.957026,,,30.1,2,NOK,197.09677,15749,,,,1851833984,,,74023,21.018728,30.1,30.55,,114600,15749,37.5,82.567566,,11.42,15.06,30.4,False,0.1153,172600,30.8,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,AMSC.OL,,,finmb_22594564,5f072aeb-ed06-3e2d-be9d-4240fe9a0b8f,no_market,,27.345,,0.106709994,28.284,-0.07794118,,0.37,,60616500,,,2.607,,,,1577750400,0.19708,9402000,0.155,,,11.71845,0.28123,1640908800,1593475200,,,43989211,2409197312,,,,,,0.571,,,,,,,,https://logo.clearbit.com/americanshippingco.com,OksenOeyveien 10,
ABT,1366,Healthcare,,"Aqua Bio Technology ASA engages in developing and commercializing active ingredients for use in skin care products in Norway. It offers Aquabeautine XL, a proprietary ingredient; and Spirulysat, an antioxidant for cosmetic use. The company also markets and distributes natural and skin care products to consumers, retailers, and professionals in Europe and the Middle East. It distributes its products through Internet, stores, and skin care clinics. The company markets and distributes organic skin care products under the Moana brand name in New Zealand and arctic skin care products under the Cuvget brand name in Norway. Aqua Bio Technology ASA was founded in 2000 and is based in Lysaker, Norway.",Lysaker,,Norway,[],http://www.aquabiotechnology.com,1,Fornebuveien 37,,Biotechnology,5.8,5.8,3.38529,0.17241378,0,,5.8,,292823,,5.8,5.036471,1,5.8,292823,,,,,1496880000,1.296747,,,5.2,2,NOK,,46218,,,,82151392,,,179096,63.428062,5.2,5.45,,320000,46218,8.8,-9.907407,,,1.25,5.35,False,,330000,5.8,OSL,AQUA BIO TECHNOLOG,Aqua Bio Technology ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,ABT.OL,,,finmb_39453852,76bbadd4-afcb-3c7a-9fa1-f28f0b5bab06,no_market,,63.454,,0,-6.32,,,-0.54,,15355400,,,0.477,,,,1577750400,0.02359,-13215518,-1.03,,,11.215933,0.80484,1640908800,1577750400,,,1789210,82185608,,1309132800,1:20,,,,,,,,,,,https://logo.clearbit.com/aquabiotechnology.com,,
AKSO,1366,Energy,13000,"Aker Solutions ASA provides products, systems, and services to the oil and gas industry worldwide. The company operates through Projects and Services segments. It offers field planning, feasibility, and concept studies; floater designs; digital solutions; and deep water risers. The company also provides engineering, project management, and procurement services, such as design of offshore oil and gas production facilities, and onshore receiving and processing facilities; jacket designs; subsea production systems; subsea trees; and control systems. In addition, it offers subsea wellheads engineering, manufacturing, installation, and life-of-field support services, including umbilical systems, subsea structures, tie-in systems, subsea compression and pump systems, subsea power distribution and processing systems, and intervention and workover systems; and lifecycle, hook-up and completion, maintenance, modification, asset integrity management, and yards and fabrication services. Aker Solutions ASA was founded in 1841 and is headquartered in Fornebu, Norway.",Fornebu,47 67 51 30 00,Norway,[],http://akersolutions.com,1,OksenÃ¸yveien 8,47 67 82 69 50,Oil & Gas Equipment & Services,10.72,10.75,9.604258,0.1352612,0,,10.87,,5780829,,10.72,13.529028,1.45,10.75,5780829,,,,,1428624000,2.095818,,,10.26,2,NOK,,1517235,,,,2641240576,,,6201392,0.10022542,10.26,10.36,,58500,1517235,30.2,4.446352,,,4.362,10.33,False,,156700,10.87,OSL,AKER SOLUTIONS ASA,Aker Solutions ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,AKSO.OL,,,finmb_262890984,de83dc81-5e2c-33b0-8de5-4033c9d9a349,no_market,,0.408,,-0.03779,16.975,-0.595319,,2.33,,271943008,,,24.02,,,,1577750400,0.26966998,-996000000,-3.667,,,0.43130723,0.46942002,1640908800,1593475200,,,130227946,10762226688,,1175212800,1:5,,,,,,,,,,,https://logo.clearbit.com/akersolutions.com,,
AFG,0663,Industrials,5524,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1,Innspurten 15,,Engineering & Construction,164.4,170.8,167.42754,0.036496352,1.2996001,,170.8,,16779,,164.4,177.3,6,170.8,16779,,,,12,1589760000,0.439024,,,164.6,2,NOK,22.822657,384,,,,17473497088,,,16619,0.7084904,164.6,166.4,,178000,384,185,19.833134,,5.43,124.5,166.2,False,0.073,52100,170.8,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,AFG.OL,,,finmb_6174594,19be6d86-e036-307c-84b4-3f52d8406448,no_market,,0.755,,0.030369999,15.21,-0.04971099,,8.39,,105009000,,,20.408,,,,1577750400,0.14407,749000000,7.291,,,8.153665,0.60915,1640908800,1593475200,,,41049068,18616479744,,,,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,,
AKER,1366,Energy,21865,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1,OksenOeyveien 10,47 24 13 01 01,Oil & Gas Equipment & Services,414.4,415,338.7145,0.028354248,0,,415.6,,89815,,414.4,395.25882,11.75,415,89815,,,,11.75,1595289600,1.71777,,,408.6,2,NOK,,29282,,,,30600392704,,,182646,0.64959335,408.6,411.8,,111700,29282,566,15.695238,,,182.2,411.4,False,0.028199999,108400,415.6,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,AKER.OL,,,finmb_12074458,22b00f81-384b-31fd-8ac8-f4b36178b436,no_market,,1.904,,-0.08871,35.084,-0.047794163,,26.25,,74272800,,,251.432,,,,1577750400,0.19775999,-4124000000,-56.266,,,1.6386139,0.70268,1640908800,1593475200,,,67696448,89675489280,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,
ANDF-ME,8400,Consumer Defensive,,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,,Farm Products,49.9,50.9,54.486668,,0,,51,,31901,,49.9,55.28706,,50.9,31901,,,,,,,,,50.5,2,NOK,,5932,,,,1714844416,,,44484,1041.4893,50.5,51,,,5932,65,,,,46.5,50.5,False,,,51,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,,EQUITY,ANDF-ME.OL,,,finmb_570862527,c2ead10d-7e24-3d0e-83f0-a00e240c490e,no_market,,896.306,,0,-184.233,Infinity,,,,33624400,,,4.914,,,,1577750400,,-6394534,-0.214,,,10.37851,,1640908800,,,,,1475795328,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,8402 Sortland,
AKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC-ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOW-ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
