ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err
ELE,0250,Basic Materials,"Element ASAengages  acquisition and development of mineral resources. It holds interests in the nickel-cobalt-mineralized areas on the island of Mindoro in the Philippines. The company's main assets are currently the Mindoro Nickel Project, PALCapital Ventures. The company was formerly known as Intex Resources ASA and changed its name to Element ASA in October 2017. Element ASA was incorporated in 1996 and is headquartered in Oslo, Norway.",Oslo,47 23 08 23 08,Norway,[],http://www.elementasa.com,1,Grundingen 2,,Other Industrial Metals & Mining,5.19,5.3,4.499029,,0,,5.3,,210030,,5.19,5.300294,,5.3,,210030,,,,,,3.890824,,,5,2,NOK,,84084,,,,96765952,,,851580,620.29456,5,5.18,,0,84084,9.5,,,,1.68,5.11,False,,0,5.3,OSL,ELEMENT ASA,Element ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ELE.OL,finmb_22929109,no_market,,696.731,,0,-37.334,1.891365,,,,18899600,,,0.229,,,,1577750400,0.00629,-5625000,-0.457,,0.15364361,22.358078,0.28688,1640908800,1585612800,,,11864880,108690000,,1556150400,1:20,,,,,,,,,,,https://logo.clearbit.com/elementasa.com,2,,,,,,
ELOP-ME,2316,Technology,"Elop AS designs and develops smart products and solutions for the inspection, asset management, and structural health monitoring of concrete structures. It offers Cobri, a tool that gathers assessment data on critical infrastructure such as bridges, tunnels, and buildings and provides it to owners of critical concrete infrastructure. The company was founded in 2013 and is based in Hamar, Norway.",Hamar,47 41 64 13 00,Norway,[],http://www.elop.no,1,Nordvikvegen 50,,Scientific & Technical Instruments,5.1,5.2,5.16515,,0,,5.4,,100600,,5.1,5.16515,,5.2,,100600,,,,,,,,,5.2,2,NOK,,69382,,,,374011424,,,381289,,5.2,5.35,,,69382,6.2,,,,4.82,5.32,False,,,5.4,OSL,ELOP AS,Elop AS,Europe/Oslo,CEST,False,7200000,EQUITY,ELOP-ME.OL,finmb_622946747,no_market,,,,0,,-0.02875644,,,,70302896,,,,,,,,,,,,0.15364361,,,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/elop.no,,,,,,,
ENDUR,5160,Industrials,"EndÃºr ASA engages in the aquaculture, maritime, and energy businesses in Norway and internationally. The company offers maritime service, and technical ship maintenance and services; and produces integrated concrete feed and work barges for the aquaculture industry. It also engages in the maintenance, modification, installation, fabrication, and reconstruction of oil and gas installations for onshore and offshore. The company was formerly known as Bergen Group ASA and changed its name to EndÃºr ASA in February 2019. EndÃºr ASA was founded in 2007 and is headquartered in Bergen, Norway.",Bergen,47 55 54 24 00,Norway,[],http://www.endur.no,1,DamsgArdsveien 229,,Conglomerates,1.42,1.445,1.0191752,,0,,1.47,,688815,,1.42,1.5079411,,1.445,,688815,,,,,,,,,1.405,4,NOK,,109246,,,,407651072,,,3084743,0.7706477,1.405,1.445,,0,109246,3.2,,,,0.532,1.43,False,,0,1.47,OSL,ENDUR ASA,Endúr ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ENDUR.OL,finmb_22783429,no_market,,0.696,,-0.01554,-58.655,0.122529626,,,,283091008,,,0.546,,,,1577750400,0.17669001,-15706000,-0.039,,0.15364361,2.6373627,0.70949996,1640908800,1585612800,,,87390757,368003072,,,,,,0.402,,,,,,,,https://logo.clearbit.com/endur.no,249,LaksevAg,,,,,
ELK,0277,Basic Materials,"Elkem ASA manufactures and sells metals and materials in Norway and internationally. The company operates through four segments: Silicones, Silicon Materials, Foundry Products and Carbon. Its products include silicones, ferrosilicones, foundry alloys, carbon materials, and microsilica products. The company also engages in sale of electric power, as well as supplies heat in the form of steam and hot water. Its products are used in chemical applications, as well as construction, refractory, and oilfield industries. The company was founded in 1904 and is headquartered in Oslo, Norway. Elkem ASA is a subsidiary of Bluestar Elkem International Co., Ltd. S.A.",Oslo,47 22 45 01 00,Norway,[],http://www.elkem.com,1,Drammensveien 169,47 22 45 01 55,Specialty Chemicals,17.94,17.94,18.04927,0.033444818,0.75949997,,18.54,,509136,,17.94,18.60706,0.6,17.94,,509136,,,,0.6,1589155200,2.220063,,,17.86,2,NOK,23.253164,582505,,,,10678665216,,,762437,0.47972438,17.86,18.45,,0,582505,26.4,4.175,,,10.92,18.39,False,0.0334,0,18.54,OSL,ELKEM ASA,Elkem ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ELK.OL,finmb_731504,no_market,,0.858,,0.02066,8.37,-0.15137178,,4.4,,581310016,,,21.744,,,,1577750400,0.29434,460000000,0.79,,0.15364361,0.8448308,0.58916,1640908800,1593475200,,,238610457,19092707328,,,,,,,,,,,,,,https://logo.clearbit.com/elkem.com,6370,,,,,,
EXTX-ME,0379,Healthcare,"EXACT Therapeutics AS, a clinical stage biotech company, develops a technology platform for targeted therapeutic enhancement, Acoustic Cluster Therapy (ACT). The ACT sonoporation is an approach to ultrasound-mediated, targeted drug enhancement with the potential to amplify the clinical utility of a range of therapeutic agents across various indications, including within oncology (chemotherapy and immunotherapy), infectious diseases, and neurological conditions. The company was founded in 2012 and is based in Oslo, Norway.",Oslo,,Norway,[],http://www.exact-tx.com,1,Ullernchausseen 64,,Biotechnology,36,36,36.788624,,0,,36,,7248,,36,36.788624,,36,,7248,,,,,,,,,35,2,NOK,,1370,,,,1063856896,,,13543,143.22353,35,35.99,,,1370,53.592,,,,26,35,False,,,36,OSL,EXACT THERAPEUTICS,EXACT Therapeutics AS,Europe/Oslo,CEST,False,7200000,EQUITY,EXTX-ME.OL,finmb_582869177,no_market,,143.223,,-2.01696,-67.781,0.13122177,,,,29967800,,,1.404,,,,1577750400,,-14981884,-0.5,,0.15364361,25.284899,,1640908800,,,,29885039,1063855104,,1595808000,250:1,,,,,,,,,,,https://logo.clearbit.com/exact-tx.com,4,,,,,,
EMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YHD,,EMAS Offshore Limited,America/New_York,EDT,False,-14400000,MUTUALFUND,EMAS.OL,finmb_268054902,us_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRA,0185,Real Estate,"Entra ASA owns, develops, leases, and manages office properties in Norway. As of December 31, 2019, it had a property portfolio of 89 properties totalling approximately 1.3 million square meters. The company was founded in 2000 and is headquartered in Oslo, Norway.",Oslo,47 21 60 51 00,Norway,[],http://www.entra.no,1,Biskop Gunnerus gate 14 A,,Real Estate—Diversified,127.5,126.7,131.52774,0.03764706,0.3717,,128.1,,228595,,127.5,126.8,4.8,126.7,,228595,,,,4.8,1601596800,0.519744,,,126.7,2,NOK,9.90625,193450,,,,23094337536,,,409630,9.0815325,126.7,127.1,,168600,193450,168.6,17.513813,,3.68,96.2,126.9,False,0.0376,193700,128.1,OSL,ENTRA ASA,Entra ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ENTRA.OL,finmb_254167079,no_market,,17.891,,0.91663,20.504,-0.022239208,,7.24,,182132000,,,125.59,,,,1577750400,0.5023,2331000064,12.8,,0.15364361,1.0096346,0.22298999,1640908800,1593475200,,,150093205,45497344000,,,,,,0.004,,,,,,,,https://logo.clearbit.com/entra.no,181,,,,,,
EPR,1661,Consumer Defensive,"Europris ASA operates as a discount variety retailer in Norway. The company sells own brand, private-label, and branded merchandise, including personal care, animal, home and interior, leisure time, clothes and shoes, fix home, household, garn, and enterprise assortment products. As of March 26, 2020, it operated 265 stores. The company was formerly known as EPH II AS and changed its name to Europris ASA in May 2015. The company was founded in 2011 and is headquartered in RolvsÃ¸y, Norway.",RolvsÃ¸y,,Norway,[],http://www.europris.no,1,Dikeveien 57,,Discount Stores,46.08,46.1,38.14116,0.042317707,0.58669996,,46.3,,484072,,46.08,45.39941,1.95,46.1,,484072,,,,1.95,1588204800,0.771777,,,45.72,2,NOK,14.02439,347686,,,,7627674624,,,680384,1.0945461,45.72,46.06,,79600,347686,50.75,17.760618,,,23.6,45.96,False,0.044,95300,46.3,OSL,EUROPRIS ASA,Europris ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EPR.OL,finmb_293420901,no_market,,1.588,,0.078049995,12.423,0.8550725,,2.59,,165819008,,,11.468,,,,1577750400,0.53228,543936000,3.28,,0.15364361,4.0111613,0.03046,1640908800,1593475200,,,159459440,11067018240,,,,,,1.399,,,,,,,,https://logo.clearbit.com/europris.no,1814,,,,,,
EPIC-ME,059818,Energy,"Epic Gas Ltd, together with its subsidiaries, owns and operates a fleet of pressurized gas carriers in Southeast Asia, Europe, West Africa, and the United States. As of February 13, 2020, it operated a fleet of 44 vessels that provide seaborne services for the transportation of liquefied petroleum gas and petrochemicals, which serve as a link in the international gas and petrochemical supply chains of various oil and commodity trading houses. The company also offers commercial and technical management services for various ship owners. In addition, it engages in vessel owning and chartering activities. Epic Gas Ltd was incorporated in 2012 and is headquartered in Singapore. Epic Gas Ltd is a subsidiary of BW Group Limited.",Singapore,65 6230 7801,Singapore,[],http://www.epic-gas.com,1,8 Eu Tong Sen Street,,Oil & Gas Midstream,17.6,16.6,13.932847,,0,,16.6,,1172,,17.6,14.508823,,16.6,,1172,,,,,,0.321138,,,15.7,2,NOK,560.71423,2208,,,,1673619968,,,253,8.994368,15.7,16.1,,,2208,19,,,,13.4,15.2,False,,,16.6,OSL,EPIC GAS LTD,Epic Gas Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,EPIC-ME.OL,finmb_254340014,no_market,,10.693,,0.01594,41.235,0.23076928,,,,106600000,,,2.764,,,,1577750400,0,2965409,0.028,,0.15364361,5.680174,0.83456004,1640908800,1593475200,,,17242550,1989619968,,,,,,,,,,,,,,https://logo.clearbit.com/epic-gas.com,,"No.22-89, The Central",,,,,
FJORD,6900,Industrials,"Fjord1 ASA, together with its subsidiaries, operates passenger ferries and other passenger boats in Norway. The company operates in four segments: Ferry, Passenger Boat, Catering, and Tourism. The company's ferries and passenger boats transport vehicles and passengers. It also offers catering and tourism, shipyard, and travel agency services; and manages properties. The company was founded in 2001 and is headquartered in FlorÃ¸, Norway. Fjord1 ASA is a subsidiary of Havilafjord AS.",FlorÃ¸,47 57 75 70 00,Norway,[],http://www.fjord1.no,1,Strandavegen 15,,Marine Shipping,43.3,43.3,42.059853,0.06235566,1.6071,,43.3,,8753,,43.3,44.729412,2.7,43.3,,8753,,,,,1557878400,0.85,,,42.5,2,NOK,25.373135,6025,,,,4246158080,,,25842,1.5173798,42.5,42.8,,0,6025,46.9,12.108262,,,31,42.6,False,,0,43.3,OSL,FJORD1 ASA,Fjord1 ASA,Europe/Oslo,CEST,False,7200000,EQUITY,FJORD.OL,finmb_22655336,no_market,,3.651,,0.05979,13.113,0.18630135,,3.51,,99909600,,,22.394,,,,1577750400,0.11310001,167319008,1.675,,0.15364361,1.8978299,0.85439,1640908800,1585612800,,,14465911,10216487936,,,,,,,,,,,,,,https://logo.clearbit.com/fjord1.no,1056,,,,,,
EQNR,4035,Energy,"Equinor ASA, an energy company, explores for, produces, transports, refines, and markets petroleum and petroleum-derived products, and other forms of energy in Norway and internationally. The company operates through Development & Production Norway; Development & Production Brazil; Development & Production International; Marketing, Midstream & Processing; New Energy Solutions; Technology, Projects & Drilling; Exploration; and Global Strategy & Business Development segments. It also transports, processes, manufactures, markets, and trades in oil and gas commodities, such as crude and condensate products, gas liquids, natural gas, and liquefied natural gas; markets and trades in electricity and emission rights; and operates refineries, processing and power plants, and terminals. In addition, the company develops wind, and carbon capture and storage projects, as well as offers other renewable energy and low-carbon energy solutions. As of December 31, 2019, it had proved oil and gas reserves of 6,004 million barrels of oil equivalent. The company was formerly known as Statoil ASA and changed its name to Equinor ASA in May 2018. Equinor ASA was founded in 1972 and is headquartered in Stavanger, Norway.",Stavanger,47 51 99 00 00,Norway,[],http://www.equinor.com,1,Forusbeen 50,,Oil & Gas Integrated,145.7,146.1,139.86891,0.0048730266,,,147.1,,3063265,,145.7,140.61618,0.71,146.1,,3063265,,,,3.3,1605139200,0.731707,,,144.75,2,NOK,,1656289,,,,472272273408,,,3783282,9.041992,144.75,144.95,,,1656289,187.2,,,4.95,95.2,144.95,False,0.022,,147.1,OSL,EQUINOR ASA,Equinor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EQNR.OL,finmb_989228,no_market,,9.485,,-0.04413,34.51,-0.021490932,,,,3248090112,,,10.863,,,,1577750400,0.19812,-2304999936,-0.697,,0.15364361,13.384884,0.67271006,1640908800,1593475200,,,1016182440,495427190784,,1147219200,5:1,,,,,,,,,,,https://logo.clearbit.com/equinor.com,21412,,,,,,
GENT-ME,1596,Healthcare,"Gentian Diagnostics AS researches, develops, and produces biochemical reagents for use in medical diagnostics and research in Europe, Asia, the United States. It offers in-vitro diagnostic (IVD) and molecular diagnostic tests for medical laboratories and universities. The company's products include Plasma Calprotectin, a particle enhanced turbidimetric immunoassay (PETIA) for quantitative analysis of total calprotectin in plasma; and Cystatin C, a PETIA for use on a range of clinical chemistry analyzers. . It also offers Canine CRP, an IVD test for the quantitative determination of Canine CRP in dog serum plasma; PreTect HPV-Proofer, an assay for the qualitative detection of the presence of human papillomavirus; and PreTect SEE, a control test for NILM cytology. The company was founded in 2001 and is headquartered in Moss, Norway.",Moss,47 99 33 99 05,Norway,[],http://www.gentian.com,1,Bjornasveien 5,,Diagnostics & Research,64,65,52.286133,,0,,66,,6507,,64,59.25,,65,,6507,,,,,,0.736526,,,65,2,NOK,,33672,,,,1016578176,,,7552,16.277752,65,66,,,33672,66.8,,,,38,65.5,False,,,66,OSL,GENTIAN DIAGNOSTIC,Gentian Diagnostics AS,Europe/Oslo,CEST,False,7200000,EQUITY,GENT-ME.OL,finmb_413765020,no_market,,13.758,,-0.61030996,-34.318,0.30612242,,,,15402700,,,13.222,,,,1577750400,0.26522,-38115000,-2.477,,0.15364361,4.9916806,0.48766997,1640908800,1585612800,,,6773345,859215360,,,,,,,,,,,,,,https://logo.clearbit.com/gentian.com,46,,,,,,
GEOS-ME,6002,Industrials,"Golden Energy Offshore Services AS, together with its subsidiaries, engages in the shipping business in Europe and Africa. The company owns 4 platform supply vessels. Golden Energy Offshore Services AS was incorporated in 2013 and is headquartered in Aalesund, Norway.",Ãlesund,47 70 10 26 60,Norway,[],http://www.geoff.no,1,St Olavs Plass 1,47 70 10 26 61,Marine Shipping,1.03,1.03,1.6416059,,0,,1.03,,0,,1.03,1.14,,1.03,,0,,,,,,0.344751,,,1.03,4,NOK,,0,,,,47044012,,,969,0.42625448,1.03,0,,,0,5.9,,,,1,0,False,,,1.03,OSL,GOLDEN ENGY OFFSHO,Golden Energy Offshore Services AS,Europe/Oslo,CEST,False,7200000,EQUITY,GEOS-ME.OL,finmb_382050544,no_market,,2.633,,-0.15581,17.076,-0.8254237,,,,45673800,,,8.079,,,,1577750400,0.4456,-17196492,-0.541,,0.15364361,0.12749101,0,1640908800,1577750400,,,19335649,290545120,,,,,,,,,,,,,,https://logo.clearbit.com/geoff.no,,,,,,,
RISH,5058,Industrials,"GC Rieber Shipping ASA engages in the design, development, construction, and maritime operation of specialized vessels within the offshore/shipping business in Norway, Great Britain, Africa, and the Netherlands. It operates through Subsea and Ice/Support segments. The Subsea segment owns and operates subsea vessels that are primarily used for construction, inspection, maintenance, and repair of subsea installations. The Ice/Support segment owns and operates a vessel within ice/support that provides services for scientific expeditions and logistics operations, as well as for the oil and gas sector. The company operates 11 vessels and has direct and indirect ownership of 23 advanced special purpose vessels. It also provides marine ship management and project development services. The company was founded in 1879 and is headquartered in Bergen, Norway. GC Rieber Shipping ASA is a subsidiary of GC Rieber AS.",Bergen,47 55 60 68 00,Norway,[],http://www.gcrieber-shipping.com,1,Solheimsgaten 15,,Marine Shipping,6.1,5.75,6.400219,0.08196721,0,,5.75,,4313,,6.1,6.127941,0.5,5.75,,4313,,,,,1428624000,0.991289,,,5.75,2,NOK,,53,,,,494688608,,,5900,2.451563,5.75,6.1,,110000,53,11.5,,,,4.5,5.8,False,,100000,5.75,OSL,GC RIEBER SHIPPING,GC Rieber Shipping ASA,Europe/Oslo,CEST,False,7200000,EQUITY,RISH.OL,finmb_884214,no_market,,8.084,,-0.90569,20.11,-0.17567569,,,,86032800,,,20.62,,,,1577750400,0.01897,-182755008,-2.124,,0.15364361,0.27885547,0.92489,1640908800,1585612800,,,8121469,1631233280,,1176422400,10:1,,,,,,,,,,,https://logo.clearbit.com/gcrieber-shipping.com,32,,,,,,
GOGL,HM 08,Industrials,"Golden Ocean Group Limited, a shipping company, owns and operates a fleet of dry bulk vessels comprising of Newcastlemax, Capesize, Panamax, and Ultramax vessels worldwide. It owns and operates dry bulk vessels in the spot and time charter markets. The company transports bulk commodities, such as ores, coal, grains, and fertilizers. As of March 12, 2020, it owned a fleet of 67 vessels. Golden Ocean Group Limited is based in Hamilton, Bermuda.",Hamilton,441 295 6935,Bermuda,[],http://www.goldenocean.bm,1,Par-la-Ville Place,441 295 3494,Marine Shipping,36.48,37.08,35.80686,0.0082236845,,,37.7,,623373,,36.48,35.97647,0.3,37.08,,623373,,,,2.24,1583366400,1.718681,,,36.76,2,NOK,,535846,,,,5364327936,,,1026838,7.4601226,36.76,37.5,,470900,535846,59.6,,,,26.5,37.36,False,0.059699997,400000,37.7,OSL,GOLDEN OCEAN GROUP,Golden Ocean Group Limited,Europe/Oslo,CEST,False,7200000,EQUITY,GOGL.OL,finmb_262789605,no_market,,9.077,,-0.16155,34.958,-0.27690786,,,,143278000,,,9.389,,,,1577750400,0.2715,-116166000,-0.818,,0.15364361,3.987645,0.36176997,1640908800,1585612800,,,91444125,6527238144,,1470009600,1:5,,,,,,,,,,,https://logo.clearbit.com/goldenocean.bm,37,14 Par-la-Ville Road PO Box HM 1593,,,,,
FRO,HM 08,Energy,"Frontline Ltd., a shipping company, engages in the seaborne transportation of crude oil and oil products worldwide. It owns and operates oil and product tankers. As of December 31, 2019, the company operated a fleet of 71 vessels. It is also involved in the charter, purchase, and sale of vessels. Frontline Ltd. is based in Hamilton, Bermuda.",Hamilton,441 295 6935,Bermuda,[],http://www.frontline.bm,1,Par-la-Ville Place,441 295 3494,Oil & Gas Midstream,74.3,76.25,79.60072,0.01615074,0.3623,,77.5,,428206,,74.3,71.21912,1.2,76.25,,428206,,,,27.07,1591142400,0.323462,,,75.5,2,NOK,53.686794,378028,,,,15692891136,,,928726,13.885351,75.5,76.6,,173100,378028,123,177.7907,,,55,76.45,False,0.3643,75700,77.5,OSL,FRONTLINE LTD,Frontline Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,FRO.OL,finmb_144797851,no_market,,14.79,,0.23472,33.622,0.034818888,,0.43,,197692000,,,8.114,,,,1577750400,0.29650998,265272000,1.424,,0.15364361,9.421986,0.50473,1640908800,1585612800,,,98284714,16715514880,,1454544000,1:5,,,3.13,,,,,,,,https://logo.clearbit.com/frontline.bm,157,14 Par-la-Ville Road PO Box HM 1593,,,,,
GJF,0191,Financial Services,"Gjensidige Forsikring ASA operates as a general insurance company in Norway, Denmark, Sweden, Lithuania, Latvia, and Estonia. The company operates through six segments: General Insurance Private, General Insurance Commercial, General Insurance Denmark, General Insurance Sweden, General Insurance Baltics, and Pension. It offers various insurance products, including motor vehicles, property, leisure boats, and accident and health insurance products, as well as insurance products in the areas of liability, commercial, municipality, and agriculture, coastal and marine/transport, and defined contribution scheme; travel; and life and pet insurance products. The company also provides pension and savings products comprising occupational pensions, private pension savings, spouse/cohabitant pension, child's pension, and individual disability pensions. It distributes its products through its distribution network, as well as through agents, partnerships, brokers, telephone, digital solutions, and sales offices to private and commercial customers. The company is headquartered in Oslo, Norway. Gjensidige Forsikring ASA is a subsidiary of Gjensidigestiftelsen.",Oslo,47 91 50 31 00,Norway,[],http://www.gjensidige.no,1,Schweigaardsgate 21,,Insurance—Diversified,188.2,188.6,184.27446,0.037725825,0,,189.7,,268689,,188.2,187.43236,7.1,188.6,,268689,,,,,1585267200,0.430313,,,188,2,NOK,24.041636,205959,,,,94699995136,,,483749,3.4335353,188,189.2,,118100,205959,208.8,19.894957,,,145.25,189.1,False,,96300,189.7,OSL,GJENSIDIGE FORSIKR,Gjensidige Forsikring ASA,Europe/Oslo,CEST,False,7200000,EQUITY,GJF.OL,finmb_4497069,no_market,,1.896,,0.14283,9.946,0.1080364,,9.52,,500000000,,,56.1,,,,1577750400,0.30024,3939399936,7.878,,0.15364361,3.3761141,0.6395,1640908800,1593475200,,,497370053,52299538432,,,,,,0.455,,,,,,,,https://logo.clearbit.com/gjensidige.no,3620,,,,,,
FLNG,HM08,Energy,"Flex LNG Ltd., through its subsidiaries, engages in the seaborne transportation of liquefied natural gas (LNG) worldwide. As of December 31, 2019, it owned and operated six LNG carriers. It also provides chartering and management services. Flex LNG Ltd. was founded in 2006 and is based in Hamilton, Bermuda.",Hamilton,441 295 6935,Bermuda,[],http://www.flexlng.com,1,Par-La-Ville Place,441 295 3494,Oil & Gas Midstream,50.55,52,51.76949,0.003956479,1.8944,,52,,76016,,50.55,49.765,0.2,52,,76016,,,,1.87,1583798400,0.586409,,,50.3,2,NOK,501.9802,38041,,,,2743407360,,,121849,19.734188,50.3,51.25,,219600,38041,108.2,362.14285,,,38.1,50.55,False,0.037,100000,52,OSL,FLEX LNG LTD (BM),Flex LNG Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,FLNG.OL,finmb_36151890,no_market,,24.581,,0.03976,34.357,-0.4313836,,0.14,,54110600,,,15.136,,,,1577750400,0.19859,5528000,0.101,,0.15364361,3.34963,0.4586,1640908800,1585612800,,,28836612,3417228544,,1552262400,1:10,,,,,,,,,,,https://logo.clearbit.com/flexlng.com,8,4th Floor 14 Par-La-Ville Road,,,,,
FKRAFT,5147,Utilities,"Fjordkraft Holding ASA, together with its subsidiaries, engages in the purchase, sale, and portfolio management of electrical power to households, private and public companies, and municipalities in Norway. It operates through Consumer and Business segments. The Consumer segment sells electrical power and related services to private consumers. The Business segment sells electrical power and related services to business consumers. The company also provides mobile phone services to private customers. Fjordkraft Holding ASA was founded in 2001 and is headquartered in Bergen, Norway.",Bergen,47 23 00 61 00,Norway,[],http://www.fjordkraft.no,1,Folke Bernadottes Vei 38,,Utilities—Regulated Electric,86.6,87,74.58978,0.034642033,0.5528,,88.5,,157248,,86.6,78.479416,3,87,,157248,,,,3,1587600000,0.182557,,,86.6,2,NOK,22.024107,184393,,,,9172192256,,,231859,1.5580021,86.6,87.6,,0,184393,88.9,,,,44.2,87.3,False,0.0355,0,88.5,OSL,FJORDKRAFT HLDG,Fjordkraft Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,FKRAFT.OL,finmb_551325968,no_market,,1.473,,0.07124,14.613,0.91381216,,,,104586000,,,11.131,,,,1577750400,0.41085997,419416000,3.982,,0.15364361,7.8788967,0.3204,1640908800,1585612800,,,85416677,8669147136,,,,,,0.366,,,,,,,,https://logo.clearbit.com/fjordkraft.no,293,,,,,,
GIG,STJ 3148,Consumer Cyclical,"Gaming Innovation Group Inc., through its subsidiaries, provides and facilitates a platform for Internet gambling, gaming, and betting in Nordic countries, other European countries, and internationally. It operates in two segments, Business-to-Business (B2B) and Business-to-Consumer (B2C). The company offers profile management system with integrated KYC tools to verify end users, which comprises of payment gateway, gaming tools, and regulatory adaption engine, as well as bonus, affiliate, and content management systems. It also designs, hosts, and distributes in-house-developed and third-party games, such as casino; and offers sportsbook solutions that helps the customers to offer betting experience to their end users. In addition, it provides iGaming end user leads for casino and sportsbook customers using the techniques and technology in social media, adwords, permission marketing, and display advertising; and digital agency, which comprises of ad-tech, publishing, and paid media channels. Additionally, it offers front end development, compliance standards, payments, and product management services. Further, the company offers B2C casino, sports betting, and poker services through its own brands, such as Guts.com, Betspin.com, Rizk.com, SuperLenny.com, Kaboo.com, Thrills.com, and Highroller.com. The company was founded in 2012 and is headquartered in St Julians, Malta.",St Julians,356 2711 0277,Malta,[],http://www.gig.com,1,@GiG Beach,,Gambling,7.16,7.5,5.351533,,0,,7.5,,357441,,7.16,6.647941,,7.5,,357441,,,,,,0.837398,,,7.09,2,NOK,,64115,,,,639039744,,,217041,,7.09,7.17,,86600,64115,10.92,71,,,2.05,7.1,False,,1568100,7.5,OSL,GAMING INNOVATION,Gaming Innovation Group Inc.,Europe/Oslo,CEST,False,7200000,EQUITY,GIG.OL,finmb_285246636,no_market,,,,-1.33099,,-0.28400004,,0.1,,90005600,,,1.355,,,,1577750400,0.13146,,-0.08,,0.15364361,5.2398524,0.53973,1640908800,1593475200,,,37877068,639039936,,1545177600,1:10,,,,,,,,,,,https://logo.clearbit.com/gig.com,487,Golden Mile Business Centre Triq Id-Dragunara,,,,,
GRONG-ME,7870,Financial Services,"Grong Sparebank, an independent savings bank, provides a range of banking products and services in Norway. It offers bank savings accounts; fund savings; retirement savings; and car loans, mortgage loans, loans to other vehicles, and other loans and refinancing services. The company also provides various type of insurance, such as home and leisure, car and other vehicle, animal, building, mortgage, employee, and business insurance; bank guarantees, construction loans, overdrafts, leasing facilities, and corporate loans; credit facilities; payment and bank cards, and Internet and mobile banking services; and real estate agency services. It has branches in SnÃ¥sa, Lierne, MosjÃ¸en, Namsos, Steinkjer, and RÃ¸rvik. Grong Sparebank was founded in 1862 and is based in Grong, Norway.",Grong,47 74 31 28 60,Norway,[],http://www.grong-sparebank.no,1,Sundspetvegen 2,47 74 31 28 61,Banks—Regional,111,111,108.014595,0.06306306,0.8255,,111,,283,,111,112.14706,7,111,,283,,,,7,1584057600,,,,110,2,NOK,13.089623,704,,,,329945280,,,926,1.8129162,110,113,,,704,118,,,,96,0,False,0.0631,,111,OSL,GRONG SPAREBANK,Grong Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,GRONG-ME.OL,finmb_42115965,no_market,,8.347,,0.30029,,0.057142854,,,,2972480,,,232.823,,,,1577750400,0.03611,39895000,8.48,,,0.47675702,0,1640908800,1593475200,,,1992599,1519185664,,,,,,0.362,,,,,,,,https://logo.clearbit.com/grong-sparebank.no,,,,,,e1a9280d-7287-3862-aa78-b95ec7bce240,
